label,nr_errors,total,perc. errors
DayOfWeek,1.0,6,0.16666666666666666
Number,4.0,20,0.2
price,7.0,30,0.23333333333333334
Brand,0.0,11,0.0
Language,0.0,24,0.0
streetAddress,0.0,1,0.0
Duration,21.0,41,0.5121951219512195
Recipe/description,0.0,12,0.0
unitCode,4.0,13,0.3076923076923077
Energy,2.0,14,0.14285714285714285
postalCode,0.0,1,0.0
DateTime,0.0,3,0.0
RestrictedDiet,2.0,11,0.18181818181818182
BookFormatType,3.0,23,0.13043478260869565
Book/name,0.0,32,0.0
addressLocality,0.0,2,0.0
QuantitativeValue,10.0,11,0.9090909090909091
Time,2.0,16,0.125
ItemAvailability,1.0,28,0.03571428571428571
Mass,0.0,29,0.0
telephone,0.0,3,0.0
Product/description,2.0,17,0.11764705882352941
Distance,3.0,25,0.12
priceRange,2.0,10,0.2
paymentAccepted,0.0,3,0.0
category,1.0,23,0.043478260869565216
Book/description,0.0,11,0.0
Review,2.0,25,0.08
currency,3.0,31,0.0967741935483871
Rating,0.0,20,0.0
ProductModel,5.0,10,0.5
URL,4.0,21,0.19047619047619047
Restaurant/name,1.0,21,0.047619047619047616
Photograph,6.0,18,0.3333333333333333
Boolean,1.0,8,0.125
OfferItemCondition,4.0,21,0.19047619047619047
ItemList,1.0,10,0.1
Recipe/name,0.0,10,0.0
weight,13.0,40,0.325
IdentifierAT,10.0,17,0.5882352941176471
Movie/name,1.0,32,0.03125
Product/name,6.0,38,0.15789473684210525
openingHours,0.0,5,0.0
DeliveryMethod,0.0,10,0.0
unitText,0.0,10,0.0
Person/name,1.0,15,0.06666666666666667
Country,1.0,4,0.25
Date,2.0,26,0.07692307692307693
PostalAddress,0.0,1,0.0
Movie/description,0.0,11,0.0
