label,nr_errors,total,perc. errors
Distance,20.0,25,0.8
Number,18.0,20,0.9
DeliveryMethod,3.0,10,0.3
Country,2.0,4,0.5
Duration,12.0,41,0.2926829268292683
unitText,8.0,10,0.8
URL,5.0,21,0.23809523809523808
Brand,3.0,11,0.2727272727272727
BookFormatType,12.0,23,0.5217391304347826
Date,6.0,26,0.23076923076923078
unitCode,12.0,13,0.9230769230769231
Product/name,4.0,38,0.10526315789473684
Mass,25.0,29,0.8620689655172413
Photograph,3.0,18,0.16666666666666666
ItemAvailability,10.0,28,0.35714285714285715
Recipe/name,1.0,10,0.1
ItemList,8.0,10,0.8
currency,4.0,31,0.12903225806451613
Energy,12.0,14,0.8571428571428571
addressLocality,0.0,2,0.0
streetAddress,1.0,1,1.0
Person/name,6.0,15,0.4
Language,9.0,24,0.375
price,5.0,30,0.16666666666666666
Book/description,3.0,11,0.2727272727272727
telephone,1.0,3,0.3333333333333333
paymentAccepted,1.0,3,0.3333333333333333
ProductModel,9.0,10,0.9
weight,27.0,40,0.675
Book/name,9.0,32,0.28125
Movie/description,4.0,11,0.36363636363636365
PostalAddress,0.0,1,0.0
IdentifierAT,10.0,17,0.5882352941176471
RestrictedDiet,6.0,11,0.5454545454545454
QuantitativeValue,10.0,11,0.9090909090909091
Review,15.0,25,0.6
Rating,3.0,20,0.15
priceRange,4.0,10,0.4
postalCode,1.0,1,1.0
DateTime,2.0,3,0.6666666666666666
Movie/name,8.0,32,0.25
Time,14.0,16,0.875
DayOfWeek,3.0,6,0.5
Recipe/description,4.0,12,0.3333333333333333
Boolean,4.0,8,0.5
openingHours,3.0,5,0.6
Product/description,4.0,17,0.23529411764705882
OfferItemCondition,11.0,21,0.5238095238095238
category,16.0,23,0.6956521739130435
Restaurant/name,6.0,21,0.2857142857142857
