label,nr_errors,total,perc. errors
DateTime,1.0,3,0.3333333333333333
BookFormatType,15.0,23,0.6521739130434783
postalCode,1.0,1,1.0
Duration,14.0,41,0.34146341463414637
ProductModel,10.0,10,1.0
Person/name,5.0,15,0.3333333333333333
DeliveryMethod,6.0,10,0.6
ItemList,10.0,10,1.0
ItemAvailability,23.0,28,0.8214285714285714
openingHours,2.0,5,0.4
category,16.0,23,0.6956521739130435
Book/name,4.0,32,0.125
streetAddress,0.0,1,0.0
QuantitativeValue,9.0,11,0.8181818181818182
Product/description,2.0,17,0.11764705882352941
Restaurant/name,1.0,21,0.047619047619047616
Time,11.0,16,0.6875
Country,2.0,4,0.5
weight,22.0,40,0.55
Number,20.0,20,1.0
Recipe/description,1.0,12,0.08333333333333333
addressLocality,0.0,2,0.0
Photograph,3.0,18,0.16666666666666666
Language,10.0,24,0.4166666666666667
DayOfWeek,2.0,6,0.3333333333333333
Brand,5.0,11,0.45454545454545453
telephone,0.0,3,0.0
IdentifierAT,10.0,17,0.5882352941176471
Review,17.0,25,0.68
priceRange,1.0,10,0.1
URL,4.0,21,0.19047619047619047
RestrictedDiet,7.0,11,0.6363636363636364
unitCode,13.0,13,1.0
Recipe/name,1.0,10,0.1
Boolean,2.0,8,0.25
unitText,6.0,10,0.6
Distance,25.0,25,1.0
paymentAccepted,0.0,3,0.0
Energy,14.0,14,1.0
Mass,29.0,29,1.0
PostalAddress,0.0,1,0.0
currency,7.0,31,0.22580645161290322
Book/description,0.0,11,0.0
Movie/description,5.0,11,0.45454545454545453
Product/name,2.0,38,0.05263157894736842
Rating,7.0,20,0.35
price,3.0,30,0.1
OfferItemCondition,19.0,21,0.9047619047619048
Movie/name,6.0,32,0.1875
Date,3.0,26,0.11538461538461539
