label,nr_errors,total,perc. errors
Restaurant/name,1.0,21,0.047619047619047616
Movie/name,5.0,32,0.15625
OfferItemCondition,8.0,21,0.38095238095238093
BookFormatType,10.0,23,0.43478260869565216
Number,18.0,20,0.9
Date,4.0,26,0.15384615384615385
Book/name,3.0,32,0.09375
postalCode,1.0,1,1.0
PostalAddress,0.0,1,0.0
addressLocality,0.0,2,0.0
DeliveryMethod,3.0,10,0.3
Energy,13.0,14,0.9285714285714286
ItemAvailability,14.0,28,0.5
Country,3.0,4,0.75
currency,7.0,31,0.22580645161290322
Boolean,3.0,8,0.375
Recipe/description,2.0,12,0.16666666666666666
Duration,20.0,41,0.4878048780487805
paymentAccepted,1.0,3,0.3333333333333333
RestrictedDiet,7.0,11,0.6363636363636364
Movie/description,3.0,11,0.2727272727272727
unitText,10.0,10,1.0
ProductModel,10.0,10,1.0
Brand,5.0,11,0.45454545454545453
priceRange,3.0,10,0.3
Product/description,6.0,17,0.35294117647058826
weight,26.0,40,0.65
Language,12.0,24,0.5
Photograph,1.0,18,0.05555555555555555
IdentifierAT,12.0,17,0.7058823529411765
price,4.0,30,0.13333333333333333
Book/description,0.0,11,0.0
Review,18.0,25,0.72
Rating,3.0,20,0.15
ItemList,10.0,10,1.0
Recipe/name,0.0,10,0.0
Product/name,2.0,38,0.05263157894736842
DateTime,2.0,3,0.6666666666666666
URL,3.0,21,0.14285714285714285
Person/name,7.0,15,0.4666666666666667
unitCode,13.0,13,1.0
QuantitativeValue,9.0,11,0.8181818181818182
openingHours,1.0,5,0.2
category,17.0,23,0.7391304347826086
streetAddress,1.0,1,1.0
Distance,19.0,25,0.76
DayOfWeek,2.0,6,0.3333333333333333
Mass,22.0,29,0.7586206896551724
Time,11.0,16,0.6875
telephone,1.0,3,0.3333333333333333
