label,nr_errors,total,perc. errors
Book/description,0.0,11,0.0
Photograph,3.0,18,0.16666666666666666
unitText,6.0,10,0.6
OfferItemCondition,19.0,21,0.9047619047619048
paymentAccepted,0.0,3,0.0
Time,11.0,16,0.6875
Boolean,2.0,8,0.25
addressLocality,0.0,2,0.0
Book/name,3.0,32,0.09375
IdentifierAT,10.0,17,0.5882352941176471
telephone,0.0,3,0.0
Number,20.0,20,1.0
DayOfWeek,2.0,6,0.3333333333333333
RestrictedDiet,7.0,11,0.6363636363636364
Review,17.0,25,0.68
unitCode,13.0,13,1.0
Person/name,5.0,15,0.3333333333333333
category,16.0,23,0.6956521739130435
currency,7.0,31,0.22580645161290322
streetAddress,0.0,1,0.0
Recipe/description,1.0,12,0.08333333333333333
Movie/name,6.0,32,0.1875
Date,3.0,26,0.11538461538461539
openingHours,2.0,5,0.4
Product/name,2.0,38,0.05263157894736842
Mass,29.0,29,1.0
Language,9.0,24,0.375
Recipe/name,1.0,10,0.1
Rating,6.0,20,0.3
Movie/description,5.0,11,0.45454545454545453
Energy,14.0,14,1.0
weight,23.0,40,0.575
Country,2.0,4,0.5
ItemAvailability,23.0,28,0.8214285714285714
PostalAddress,0.0,1,0.0
DateTime,1.0,3,0.3333333333333333
ItemList,10.0,10,1.0
QuantitativeValue,9.0,11,0.8181818181818182
URL,4.0,21,0.19047619047619047
Distance,25.0,25,1.0
Brand,5.0,11,0.45454545454545453
price,2.0,30,0.06666666666666667
postalCode,1.0,1,1.0
Duration,14.0,41,0.34146341463414637
priceRange,1.0,10,0.1
Product/description,2.0,17,0.11764705882352941
ProductModel,10.0,10,1.0
BookFormatType,15.0,23,0.6521739130434783
Restaurant/name,1.0,21,0.047619047619047616
DeliveryMethod,6.0,10,0.6
